requirement_id,short_title,use_case,component,api_endpoint,test_case_id,priority
REQ-001,User login,Authenticate user,auth-service,POST /api/v1/auth/login,TC-001,Muss
REQ-002,User register,Register user,auth-service,POST /api/v1/auth/register,TC-002,Muss
REQ-003,Create group,Create Group flow,groups-service,POST /api/v1/groups,TC-010,Muss
REQ-004,Join group,Join Group flow,membership-service,POST /api/v1/groups/{group_id}/join,TC-011,Muss
REQ-005,Create task,Task management,tasks-service,POST /api/v1/groups/{group_id}/tasks,TC-020,Muss
REQ-006,Book provider,Provider booking flow,booking-service,POST /api/v1/providers/{id}/book,TC-030,Muss
REQ-007,Payment webhook idempotence,Payment notification handling,payments-service,POST /api/v1/payments/webhook,TC-040,Muss
REQ-008,Payment refund,Refund processing,payments-service,POST /api/v1/payments/{id}/refund,TC-041,Muss
REQ-009,Data export,User data export,export-service,GET /api/v1/users/{id}/export,TC-050,Muss
REQ-010,Data deletion (GDPR),User deletion/privacy,privacy-service,DELETE /api/v1/users/{id},TC-051,Muss

# Notes:
# - This is an initial, small traceability extract focused on MVP flows. Expand to cover all Requirement IDs in Chapter 4.
# - test_case_id refers to canonical test ids to be created in the test plan (Chapter 10).
